Address	                                        Delegation    	Slash amount	Compensation
cosmos13u32yruq3svc8xgsalcderq0vvzmjefpek5vea	250	0.025	0.0375
cosmos15hz829wam3wc3k9jlhdrwwdl93050k29wr2fwk	250	0.025	0.0375
cosmos15mqpgel3535nyg00ywh7r90rzyj0mxjz9puz7j	250	0.025	0.0375
cosmos18nqwehxpfvnudf9uhq5tk8vhjy5askc5w7jqkv	239.011055	0.023901106	0.035851658
cosmos1xx9gpf08ql99reyl3xryj8j06pjq55l29fse28	234.471759	0.023447176	0.035170764
cosmos1p702gnhy57a4yp9c6kajqdq03eq7ndavpsm9w2	229.055408	0.022905541	0.034358311
cosmos1zpwad83p53gg3nh08657udqgfadpxavx5am8e3	226.130643	0.022613064	0.033919596
cosmos1g05kj86rc5977vd7gym6gtnv3pzf3u5r4jxx7t	224.271048	0.022427105	0.033640657
cosmos1dzp0wr0aytqmfntj43nkl4ez2ud3f9pjkhs7hj	221.795644	0.022179564	0.033269347
cosmos1d6smf69qkp8kahap9dsqdrygfkhzkd7vhqh00c	220.9	0.02209	0.033135
cosmos1725s4mzpsk2es52ygj6mr5u9ge9xxhcglla3jw	220	0.022	0.033
cosmos1cu2n9z2c5vhj7nwe0mhlkguytzkm4dkhlerznk	216.13	0.021613	0.0324195
cosmos16yk2ljku83sys4wqqu5ayt5pjk23d7anxmjy62	213.381512	0.021338151	0.032007227
cosmos1f6q53eh6dsr66u5x3u95d3hpspxmpllpj2jp9n	211.9	0.02119	0.031785
cosmos1d6ymlattrg2pz0yccmmucvq6tvskez0x8xha4t	211.026055	0.021102606	0.031653908
cosmos1cphxvkw7vr248xhhv5k5tazamggn0xsyl3lwe0	210.121536	0.021012154	0.03151823
cosmos1q7ympjxr0gncsg0vkr364tg250g492fr8qe3v2	210	0.021	0.0315
cosmos195t5nq4ta8nqrn4y24kte0c7qgg023kswsdt33	209.1	0.02091	0.031365
cosmos1pafdmuejn9zk0n72mlhuyrgmc0s4quphj43dt5	208	0.0208	0.0312
cosmos1zmjahx6r7lxxff0jlqjmupwmqyyjtsu42m3vz2	204.5	0.02045	0.030675
cosmos14tug853vaect0447ck9rlq6583n5ee50cqsagw	204.4	0.02044	0.03066
cosmos1rcrn007uapjtak8d0pzvu3wk7q3dzhnfhcryys	203.987	0.0203987	0.03059805
cosmos14tgk9c7nujsmndr82fypt8fh39rhf6utwwfjhm	201.9	0.02019	0.030285
cosmos16w5mced87vern4un0hmlz6z6556rmkq8cdhqs7	201.001317	0.020100132	0.030150198
cosmos1ehv5v54s09r4h44t3dlw8dv2euc4a7qgl5apd7	200.9869	0.02009869	0.030148035
cosmos13vuu98ygysfe8d847a4zlsds2vuw8q689wj76f	200.424822	0.020042482	0.030063723
cosmos10r59x7k8aufsjxh3lgl5c2jxc0rdq63fcep9j0	200.124986	0.020012499	0.030018748
cosmos1qt9lvn6nhxjurenxajx2dsh42ksydk02nsfh2z	200	0.02	0.03
cosmos1zrlcm6kg7f9asa6utf9lvr59v4zte79d5ppkx4	200	0.02	0.03
cosmos1y36hju9achukxrhkngzw7eclp8vq6h35sv4vay	200	0.02	0.03
cosmos1gdw3wulhndx8wtqe0gxzzwtd2kh3sepcln5xy3	200	0.02	0.03
cosmos1s7twrekdng9knchzfdu27xs8xqwh4szt22sqy4	200	0.02	0.03
cosmos13q606c7vu5v7lv6mvt8np4gz0a9ewyzl3fm675	200	0.02	0.03
cosmos15le43nesthcyzg30ntzdgu8rhej9n4v0z9z9xq	200	0.02	0.03
cosmos1ky0pxtk8q2ht7k9qvrwfm6pzefrh9m2aknsgfu	200	0.02	0.03
cosmos17l9f2fxmvmfpdu8h24yvs80kpn8edtlxgeww53	200	0.02	0.03
cosmos10unx6s0cdqntvrumd5hs07rgd5ytcztqjnd7zf	199.98	0.019998	0.029997
cosmos1npe6pf7sy25ha6uvjf9f54p4ey52m3cmmdslw9	199.9	0.01999	0.029985
cosmos175ypu02dhhxxd2pkmy2uhujkyp7aceqcsfk4punhg8p7r3rl407se257rg	199	0.0199	0.02985
cosmos1fl0gj62h0t64rxyxdpv5efv34cy3rq0ghyc3qx	197.92231	0.019792231	0.029688347
cosmos19vk7frdp6zeh6axknxs7ajkrr5vcw5hpmwgcqz	197.05	0.019705	0.0295575
cosmos1aus5nuynfjr9xq4d9rrgnhhy8mma5mgrrqq045	197.035601	0.01970356	0.02955534
cosmos1sr5rmkx8cznptwa52j0lsaetuhgv8r3z0qtvl5	195	0.0195	0.02925
cosmos1vnfvs3qjrsavaqw6czcysh5v64sqjf48tuqxlv	190.197852	0.019019785	0.028529678
cosmos126t298wdq5k80zx744p4q4p8drqghat6wkaf30	188.025354	0.018802535	0.028203803
cosmos1spq8qzxns9asz64azsu2pt37pv8dqj4rj2tkcs	186.000001	0.0186	0.0279
cosmos10mmevhxjthxy7yqdaufcxpe0l20u4n8zugfm5r	183.942443	0.018394244	0.027591366
cosmos130y8zaxhqk334d424k7r205kq9lyh2dxz79e2w	183.341108	0.018334111	0.027501166
cosmos159vzcjtu5ap7urasngp8k98822hcmcu4p9w6lv	181.057844	0.018105784	0.027158677
cosmos18whlcf63tmdt95qrpwc4p5tpz8g8yw50hdufjk	177.019648	0.017701965	0.026552947
cosmos1623vqy9ssxjwqjtsy2p8mnyp5v0rpvyks4x7s0	175.246511	0.017524651	0.026286977
cosmos19kdja0sv2v98jus6exdwxv0xt9tv7yhk66u7ay	172.036049	0.017203605	0.025805407
cosmos1cqgzq599pd7xhgqg5f8avfmn9kj4jkn29c0jc7	170.9372	0.01709372	0.02564058
cosmos1suvlzxf5057p5tlu9636ysy02t6v38e2rsx6aa	170.247755	0.017024776	0.025537163
cosmos1rxwafaxx33acuc3n7cl3cqrw6phxay2qg74ugy	170	0.017	0.0255
cosmos1akez82epks75y3ucyvpgyzm9ewp8ts0w7q6h0n	162.909086	0.016290909	0.024436363
cosmos1n563x92cjrwy08e24takl58gfuh5ccy9vmh6zs	162.63806	0.016263806	0.024395709
cosmos14rlaew67wgqh77gkwkjrlzym3lnndqr5x8jdyp	162.466331	0.016246633	0.02436995
cosmos1k0dmvuzpw2uq4qzc2xlfd040s8q86l88l792dc	161	0.0161	0.02415
cosmos1l6uf0kmnu4pzmy6rcuv3l59gt8xtcsh2yufwtk	160.913661	0.016091366	0.024137049
cosmos1qv9cn2cu7dxhrdhng6sf80lscwmwtu7862jjle	160.172283	0.016017228	0.024025842
cosmos1th4u82sxwk34r0f33engljecwfl0t8kppm62cq	157.733678	0.015773368	0.023660052
cosmos1gyl4najtgy9r4sc2rcsj42cw5836hpetc3v7jc	154	0.0154	0.0231
cosmos16749n8ty57kn2l43me8q885m8twswtd5pfw2qe	153	0.0153	0.02295
cosmos1prkt7s379wupzh8nmuefa9hw5xyddqwknlzfwd	152.010893	0.015201089	0.022801634
cosmos1kud5t4tmj3ul9kc7jyt7ktggj4df759ats6js5	150.58704	0.015058704	0.022588056
